date	app	minutes
2024-02-01	maps	19
2024-02-01	podcasts	10
2024-02-02	browser	45
2024-02-02	music	26
2024-02-02	messages	45
2024-02-02	news	19
2024-02-02	maps	8
2024-02-02	podcasts	11
2024-02-03	browser	41
2024-02-03	music	25
2024-02-03	messages	25
2024-02-03	news	22
2024-02-03	maps	4
2024-02-03	podcasts	15
2024-02-04	browser	47
2024-02-04	music	41
2024-02-04	messages	35
2024-02-04	news	16
2024-02-04	maps	9
2024-02-04	podcasts	16
2024-02-05	browser	30
2024-02-05	music	27
2024-02-05	messages	23
2024-02-05	news	12
2024-02-05	maps	6
2024-02-05	podcasts	12
2024-02-06	browser	32
2024-02-06	music	37
2024-02-06	messages	15
2024-02-06	news	19
2024-02-06	maps	11
2024-02-06	podcasts	7
2024-02-07	browser	35
2024-02-07	music	43
2024-02-07	messages	45
2024-02-07	news	26
2024-02-07	maps	6
2024-02-07	podcasts	12
2024-02-08	browser	50
2024-02-08	music	48
2024-02-08	messages	30
2024-02-08	news	14
2024-02-08	maps	11
2024-02-08	podcasts	4
2024-02-09	browser	32
2024-02-09	music	51
2024-02-09	messages	41
2024-02-09	news	32
2024-02-09	maps	18
2024-02-09	podcasts	13
2024-02-10	browser	62
2024-02-10	music	29
2024-02-10	messages	44
2024-02-10	news	26
2024-02-10	maps	18
2024-02-10	podcasts	18
2024-02-11	browser	31
2024-02-11	music	51
2024-02-11	messages	36
2024-02-11	news	28
2024-02-11	maps	22
2024-02-11	podcasts	7
2024-02-12	browser	35
2024-02-12	music	25
2024-02-12	messages	16
2024-02-12	news	14
2024-02-12	maps	22
2024-02-12	podcasts	11
2024-02-13	browser	36
2024-02-13	music	37
2024-02-13	messages	41
2024-02-13	news	24
2024-02-13	maps	19
2024-02-13	podcasts	1
2024-02-14	browser	31
2024-02-14	music	45
2024-02-14	messages	32
2024-02-14	news	31
2024-02-14	maps	9
2024-02-14	podcasts	15
2024-02-15	browser	46
2024-02-15	music	25
2024-02-15	messages	29
2024-02-15	news	35
2024-02-15	maps	4
2024-02-15	podcasts	16
2024-02-16	browser	64
2024-02-16	music	27
2024-02-16	messages	36
2024-02-16	news	26
2024-02-16	maps	4
2024-02-16	podcasts	15
2024-02-17	browser	46
2024-02-17	music	50
2024-02-17	messages	17
2024-02-17	news	18
2024-02-17	maps	9
2024-02-17	podcasts	6
2024-02-18	browser	44
2024-02-18	music	48
2024-02-18	messages	35
2024-02-18	news	24
2024-02-18	maps	17
2024-02-18	podcasts	12
2024-02-19	browser	34
2024-02-19	music	40
2024-02-19	messages	44
2024-02-19	news	31
2024-02-19	maps	11
2024-02-19	podcasts	1
2024-02-20	browser	42
2024-02-20	music	27
2024-02-20	messages	34
2024-02-20	news	14
2024-02-20	maps	12
2024-02-20	podcasts	8
2024-02-21	browser	49
2024-02-21	music	44
2024-02-21	messages	33
2024-02-21	news	14
2024-02-21	maps	2
2024-02-21	podcasts	15
2024-02-22	browser	33
2024-02-22	music	40
2024-02-22	messages	23
2024-02-22	news	31
2024-02-22	maps	5
2024-02-22	podcasts	6
2024-02-23	browser	61
2024-02-23	music	34
2024-02-23	messages	37
2024-02-23	news	26
2024-02-23	maps	11
2024-02-23	podcasts	14
2024-02-24	browser	59
2024-02-24	music	39
2024-02-24	messages	39
2024-02-24	news	13
2024-02-24	maps	19
2024-02-24	podcasts	6
2024-02-25	browser	49
2024-02-25	music	27
2024-02-25	messages	44
2024-02-25	news	25
2024-02-25	maps	2
2024-02-25	podcasts	9
2024-02-26	browser	59
2024-02-26	music	27
2024-02-26	messages	41
2024-02-26	news	26
2024-02-26	maps	16
2024-02-26	podcasts	8
2024-02-27	browser	54
2024-02-27	music	31
2024-02-27	messages	44
2024-02-27	news	16
2024-02-27	maps	4
2024-02-27	podcasts	18
2024-02-28	browser	35
2024-02-28	music	29
2024-02-28	messages	38
2024-02-28	news	26
2024-02-28	maps	10
2024-02-28	podcasts	11
2024-03-01	browser	38
2024-03-01	music	44
2024-03-01	messages	41
2024-03-01	news	30
2024-03-01	maps	18
2024-03-01	podcasts	8
2024-03-02	browser	37
2024-03-02	music	47
2024-03-02	messages	26
2024-03-02	news	17
2024-03-02	maps	17
2024-03-02	podcasts	15
2024-03-03	browser	55
2024-03-03	music	25
2024-03-03	messages	20
2024-03-03	news	10
2024-03-03	maps	17
2024-03-03	podcasts	14
2024-03-04	browser	55
2024-03-04	music	34
2024-03-04	messages	38
2024-03-04	news	14
2024-03-04	maps	15
2024-03-04	podcasts	11
