date,description,amount
2024-09-24,Grocery run,42.39
2024-10-25,Grocery run,160.21
2024-11-26,Grocery run,160.46
2024-12-27,Grocery run,131.88
2024-01-01,Amazon order,49.67
2024-02-02,Coffee shop,80.52
2024-03-03,Pharmacy,99.62
2024-04-04,Grocery run,39.31
2024-05-05,Coffee shop,20.91
2024-06-06,Restaurant,124.1
2024-07-07,Gas station,24.31
2024-08-08,Restaurant,115.7
2024-09-09,Gas station,92.49
2024-10-10,Amazon order,124.68
2024-11-11,Grocery run,145.3
2024-12-12,Pharmacy,22.69
2024-01-13,Coffee shop,138.11
2024-02-14,Restaurant,94.61
2024-03-15,Restaurant,88.7
2024-04-16,Grocery run,36.48
2024-05-17,Grocery run,34.36
2024-06-18,Grocery run,178.29
2024-07-19,Amazon order,167.13
2024-08-20,Coffee shop,106.04
2024-09-21,Grocery run,171.46
2024-10-22,Pharmacy,17.66
2024-11-23,Coffee shop,61.52
2024-12-24,Pharmacy,79.05
2024-01-25,Gas station,79.69
2024-02-26,Restaurant,69.68
2024-03-27,Coffee shop,152.59
2024-04-01,Amazon order,35.9
2024-05-02,Pharmacy,67.28
2024-06-03,Gas station,75.33
2024-07-04,Grocery run,110.46
2024-08-05,Coffee shop,94.21
2024-09-06,Coffee shop,60.97
2024-10-07,Coffee shop,145.1
2024-11-08,Pharmacy,104.26
2024-12-09,Grocery run,92.75
2024-01-10,Amazon order,176.95
2024-02-11,Gas station,53.19
2024-03-12,Coffee shop,135.02
2024-04-13,Grocery run,147.38
2024-05-14,Pharmacy,27.45
2024-06-15,Gas station,158.85
2024-07-16,Gas station,139.04
2024-08-17,Grocery run,75.41
2024-09-18,Grocery run,16.42
2024-10-19,Amazon order,64.14
2024-11-20,Pharmacy,21.75
2024-12-21,Gas station,178.34
2024-01-22,Restaurant,12.72
2024-02-23,Gas station,170.26
2024-03-24,Gas station,63.46
2024-04-25,Pharmacy,104.25
2024-05-26,Restaurant,17.52
2024-06-27,Restaurant,179.98
2024-07-01,Amazon order,117.04
2024-08-02,Coffee shop,138.07
2024-09-03,Restaurant,8.02
2024-10-04,Restaurant,23.02
2024-11-05,Grocery run,49.17
2024-12-06,Pharmacy,92.84
2024-01-07,Grocery run,118.05
2024-02-08,Coffee shop,21.33
2024-03-09,Gas station,52.52
2024-04-10,Amazon order,63.99
2024-05-11,Restaurant,93.38
2024-06-12,Restaurant,103.96
2024-07-13,Coffee shop,116.29
2024-08-14,Coffee shop,100.7
2024-09-15,Coffee shop,72.01
2024-10-16,Grocery run,71.92
2024-11-17,Grocery run,154.6
2024-12-18,Restaurant,111.57
2024-01-19,Amazon order,14.3
2024-02-20,Pharmacy,78.04
2024-03-21,Restaurant,74.15
2024-04-22,Gas station,68.34
2024-05-23,Gas station,89.05
2024-06-24,Gas station,102.67
2024-07-25,Gas station,120.79
2024-08-26,Gas station,8.73
2024-09-27,Grocery run,107.1
2024-10-01,Amazon order,115.41
2024-11-02,Pharmacy,136.82
2024-12-03,Pharmacy,13.29
2024-01-04,Gas station,135.71
2024-02-05,Coffee shop,106.39
2024-03-06,Gas station,16.94
2024-04-07,Grocery run,79.59
2024-05-08,Pharmacy,48.16
2024-06-09,Grocery run,12.0
2024-07-10,Amazon order,21.33
2024-08-11,Pharmacy,29.41
2024-09-12,Grocery run,110.24
2024-10-13,Coffee shop,12.87
2024-11-14,Pharmacy,84.2
2024-12-15,Grocery run,155.56
2024-01-16,Gas station,96.95
2024-02-17,Coffee shop,67.94
2024-03-18,Grocery run,121.55
2024-04-19,Amazon order,84.18
2024-05-20,Gas station,116.57
2024-06-21,Pharmacy,68.07
2024-07-22,Restaurant,147.46
2024-08-23,Grocery run,171.66
2024-09-24,Grocery run,45.96
2024-10-25,Coffee shop,92.52
2024-11-26,Gas station,142.04
2024-12-27,Restaurant,152.99
2024-01-01,Amazon order,52.36
2024-02-02,Restaurant,124.57
2024-03-03,Restaurant,127.03
2024-04-04,Grocery run,115.43
2024-05-05,Grocery run,37.41
2024-06-06,Grocery run,92.38
2024-07-07,Grocery run,158.66
2024-08-08,Coffee shop,114.6
2024-09-09,Coffee shop,51.69
2024-10-10,Amazon order,78.83
2024-11-11,Restaurant,10.7
2024-12-12,Grocery run,99.33
2024-01-13,Coffee shop,137.02
2024-02-14,Grocery run,100.91
2024-03-15,Gas station,89.19
2024-04-16,Gas station,41.07
2024-05-17,Gas station,91.02
2024-06-18,Grocery run,151.59
2024-07-19,Amazon order,17.09
2024-08-20,Coffee shop,82.73
2024-09-21,Restaurant,151.49
2024-10-22,Grocery run,82.2
2024-11-23,Gas station,72.66
2024-12-24,Grocery run,68.94
2024-01-25,Restaurant,61.27
2024-02-26,Restaurant,137.58
2024-03-27,Grocery run,79.27
2024-04-01,Amazon order,68.99
2024-05-02,Coffee shop,85.31
2024-06-03,Gas station,17.82
2024-07-04,Coffee shop,80.03
2024-08-05,Restaurant,89.33
2024-09-06,Pharmacy,56.6
2024-10-07,Coffee shop,17.39
2024-11-08,Grocery run,164.28
2024-12-09,Restaurant,18.38
2024-01-10,Amazon order,57.47
2024-02-11,Gas station,53.79
2024-03-12,Grocery run,42.5
2024-04-13,Gas station,68.49
2024-05-14,Coffee shop,60.75
2024-06-15,Pharmacy,104.19
2024-07-16,Gas station,81.09
2024-08-17,Gas station,84.66
2024-09-18,Grocery run,74.33
2024-10-19,Amazon order,168.5
2024-11-20,Restaurant,47.7
2024-12-21,Gas station,149.82
2024-01-22,Coffee shop,67.94
2024-02-23,Pharmacy,106.93
2024-03-24,Grocery run,134.03
2024-04-25,Gas station,144.29
2024-05-26,Restaurant,31.24
2024-06-27,Restaurant,103.05
2024-07-01,Amazon order,35.08
2024-08-02,Pharmacy,159.04
2024-09-03,Gas station,146.89
2024-10-04,Grocery run,94.75
2024-11-05,Restaurant,31.93
2024-12-06,Gas station,174.09
2024-01-07,Pharmacy,15.27
2024-02-08,Restaurant,57.76
2024-03-09,Restaurant,18.79
2024-04-10,Amazon order,18.37
2024-05-11,Coffee shop,162.24
2024-06-12,Coffee shop,8.57
2024-07-13,Grocery run,21.15
2024-08-14,Pharmacy,47.2
2024-09-15,Grocery run,90.07
2024-10-16,Restaurant,63.52
2024-11-17,Pharmacy,73.41
2024-12-18,Gas station,146.08
2024-01-19,Amazon order,62.6
2024-02-20,Grocery run,90.88
2024-03-21,Restaurant,145.64
2024-04-22,Coffee shop,128.63
2024-05-23,Coffee shop,76.27
2024-06-24,Gas station,154.22
2024-07-25,Pharmacy,150.75
2024-08-26,Pharmacy,172.57
2024-09-27,Coffee shop,96.2
2024-10-01,Amazon order,128.98
2024-11-02,Coffee shop,78.2
2024-12-03,Pharmacy,165.14
2024-01-04,Grocery run,134.46
2024-02-05,Pharmacy,124.4
2024-03-06,Gas station,39.97
2024-04-07,Pharmacy,97.12
2024-05-08,Gas station,174.68
2024-06-09,Coffee shop,86.97
2024-07-10,Amazon order,132.62
2024-08-11,Gas station,118.04
2024-09-12,Grocery run,164.55
2024-10-13,Pharmacy,7.02
2024-11-14,Pharmacy,164.04
2024-12-15,Coffee shop,59.01
2024-01-16,Grocery run,36.48
2024-02-17,Grocery run,107.55
2024-03-18,Restaurant,130.23
2024-04-19,Amazon order,108.68
2024-05-20,Grocery run,81.78
2024-06-21,Gas station,74.84
2024-07-22,Gas station,114.31
2024-08-23,Restaurant,88.39
2024-09-24,Gas station,89.32
2024-10-25,Pharmacy,164.91
2024-11-26,Gas station,120.2
2024-12-27,Coffee shop,88.94
2024-01-01,Amazon order,42.9
2024-02-02,Coffee shop,42.27
2024-03-03,Grocery run,145.05
2024-04-04,Pharmacy,175.78
2024-05-05,Restaurant,140.25
2024-06-06,Coffee shop,119.73
2024-07-07,Grocery run,161.03
2024-08-08,Pharmacy,163.32
2024-09-09,Pharmacy,144.23
2024-10-10,Amazon order,129.54
2024-11-11,Restaurant,157.97
2024-12-12,Pharmacy,31.62
2024-01-13,Gas station,29.47
2024-02-14,Restaurant,27.08
2024-03-15,Restaurant,50.91
2024-04-16,Restaurant,13.32
2024-05-17,Restaurant,139.59
2024-06-18,Coffee shop,39.96
2024-07-19,Amazon order,165.26
2024-08-20,Grocery run,148.69
2024-09-21,Coffee shop,65.9
2024-10-22,Restaurant,130.11
2024-11-23,Coffee shop,160.58
2024-12-24,Pharmacy,18.58
2024-01-25,Restaurant,99.64
2024-02-26,Restaurant,57.43
2024-03-27,Grocery run,77.39
2024-04-01,Amazon order,165.35
2024-05-02,Coffee shop,141.53
2024-06-03,Pharmacy,40.68
2024-07-04,Restaurant,76.71
2024-08-05,Pharmacy,31.73
2024-09-06,Gas station,59.63
2024-10-07,Pharmacy,17.38
2024-11-08,Gas station,179.52
2024-12-09,Coffee shop,67.31
2024-01-10,Amazon order,124.93
2024-02-11,Coffee shop,121.51
2024-03-12,Pharmacy,135.41
2024-04-13,Coffee shop,119.09
2024-05-14,Coffee shop,156.01
2024-06-15,Pharmacy,45.8
2024-07-16,Restaurant,23.95
2024-08-17,Coffee shop,154.67
2024-09-18,Grocery run,162.67
2024-10-19,Amazon order,30.78
2024-11-20,Pharmacy,168.99
2024-12-21,Gas station,171.92
2024-01-22,Pharmacy,101.78
2024-02-23,Coffee shop,49.13
2024-03-24,Grocery run,70.27
2024-04-25,Coffee shop,61.97
2024-05-26,Gas station,103.05
2024-06-27,Gas station,82.65
2024-07-01,Amazon order,71.31
2024-08-02,Coffee shop,28.78
2024-09-03,Coffee shop,27.13
2024-10-04,Grocery run,35.66
2024-11-05,Pharmacy,10.42
2024-12-06,Pharmacy,108.32
2024-01-07,Coffee shop,21.68
2024-02-08,Coffee shop,31.65
2024-03-09,Coffee shop,80.35
2024-04-10,Amazon order,139.73
2024-05-11,Gas station,166.03
2024-06-12,Pharmacy,167.13
2024-07-13,Grocery run,117.92
2024-08-14,Grocery run,148.52
2024-09-15,Pharmacy,88.96
2024-10-16,Pharmacy,113.65
2024-11-17,Pharmacy,111.9
2024-12-18,Gas station,176.82
2024-01-19,Amazon order,142.98
2024-02-20,Restaurant,97.26
2024-03-21,Gas station,62.26
2024-04-22,Gas station,57.99
2024-05-23,Pharmacy,22.7
2024-06-24,Pharmacy,40.06
2024-07-25,Gas station,142.79
2024-08-26,Coffee shop,111.61
2024-09-27,Grocery run,48.68
2024-10-01,Amazon order,98.84
2024-11-02,Gas station,100.49
2024-12-03,Gas station,111.71
2024-01-04,Restaurant,28.95
2024-02-05,Grocery run,177.67
2024-03-06,Restaurant,179.71
2024-04-07,Grocery run,103.86
2024-05-08,Coffee shop,114.37
2024-06-09,Grocery run,140.68
2024-07-10,Amazon order,27.98
2024-08-11,Pharmacy,105.46
2024-09-12,Gas station,61.94
2024-10-13,Gas station,50.85
2024-11-14,Coffee shop,83.6
2024-12-15,Grocery run,46.0
2024-01-16,Restaurant,99.64
2024-02-17,Restaurant,15.19
2024-03-18,Gas station,33.66
2024-04-19,Amazon order,135.25
2024-05-20,Gas station,109.87
2024-06-21,Coffee shop,168.38
2024-07-22,Coffee shop,54.79
2024-08-23,Gas station,46.39
2024-09-24,Restaurant,67.91
2024-10-25,Grocery run,36.66
2024-11-26,Restaurant,146.78
2024-12-27,Pharmacy,9.64
2024-01-01,Amazon order,35.69
2024-02-02,Grocery run,58.15
2024-03-03,Pharmacy,112.28
2024-04-04,Coffee shop,31.9
2024-05-05,Pharmacy,86.37
2024-06-06,Grocery run,96.9
2024-07-07,Coffee shop,104.24
2024-08-08,Grocery run,63.18
2024-09-09,Grocery run,50.4
2024-10-10,Amazon order,103.97
2024-11-11,Gas station,13.41
2024-12-12,Coffee shop,131.01
2024-01-13,Grocery run,74.96
2024-02-14,Pharmacy,109.62
2024-03-15,Pharmacy,64.8
2024-04-16,Restaurant,164.7
2024-05-17,Restaurant,137.41
2024-06-18,Gas station,89.5
2024-07-19,Amazon order,179.05
2024-08-20,Pharmacy,149.22
2024-09-21,Coffee shop,103.61
2024-10-22,Restaurant,62.14
2024-11-23,Restaurant,80.07
2024-12-24,Coffee shop,60.44
2024-01-25,Coffee shop,56.1
2024-02-26,Restaurant,162.42
2024-03-27,Pharmacy,109.16
2024-04-01,Amazon order,136.33
2024-05-02,Gas station,159.34
2024-06-03,Coffee shop,47.0
2024-07-04,Pharmacy,46.65
2024-08-05,Pharmacy,175.17
2024-09-06,Pharmacy,126.3
2024-10-07,Restaurant,164.15
2024-11-08,Restaurant,57.91
2024-12-09,Pharmacy,169.48
2024-01-10,Amazon order,158.84
2024-02-11,Gas station,156.5
2024-03-12,Pharmacy,103.26
2024-04-13,Grocery run,43.03
2024-05-14,Pharmacy,103.76
2024-06-15,Coffee shop,21.35
2024-07-16,Grocery run,25.79
2024-08-17,Restaurant,105.36
2024-09-18,Pharmacy,4.1
2024-10-19,Amazon order,46.93
2024-11-20,Gas station,8.21
2024-12-21,Grocery run,15.02
2024-01-22,Pharmacy,147.52
2024-02-23,Pharmacy,28.87
2024-03-24,Restaurant,44.62
2024-04-25,Gas station,9.48
2024-05-26,Gas station,58.18
2024-06-27,Pharmacy,29.21
2024-07-01,Amazon order,140.69
2024-08-02,Pharmacy,158.66
2024-09-03,Grocery run,55.98
2024-10-04,Coffee shop,38.41
2024-11-05,Gas station,162.28
2024-12-06,Coffee shop,34.25
2024-01-07,Restaurant,39.55
2024-02-08,Grocery run,37.71
2024-03-09,Coffee shop,118.42
2024-04-10,Amazon order,57.87
2024-05-11,Gas station,173.2
2024-06-12,Gas station,157.05
2024-07-13,Grocery run,62.95
2024-08-14,Pharmacy,77.07
2024-09-15,Grocery run,43.29
2024-10-16,Gas station,25.24
2024-11-17,Grocery run,51.34
2024-12-18,Grocery run,92.25
2024-01-19,Amazon order,56.0
2024-02-20,Gas station,69.56
2024-03-21,Restaurant,159.66
2024-04-22,Restaurant,94.8
2024-05-23,Gas station,161.6
2024-06-24,Grocery run,121.4
2024-07-25,Gas station,27.33
2024-08-26,Coffee shop,85.44
2024-09-27,Coffee shop,81.5
2024-10-01,Amazon order,96.98
2024-11-02,Restaurant,163.7
2024-12-03,Coffee shop,109.55
2024-01-04,Gas station,98.56
2024-02-05,Pharmacy,145.37
2024-03-06,Coffee shop,32.95
2024-04-07,Grocery run,47.28
2024-05-08,Gas station,133.22
2024-06-09,Coffee shop,36.8
2024-07-10,Amazon order,161.88
2024-08-11,Coffee shop,113.46
2024-09-12,Restaurant,71.71
2024-10-13,Pharmacy,14.6
2024-11-14,Coffee shop,101.86
2024-12-15,Gas station,60.46
2024-01-16,Pharmacy,141.81
2024-02-17,Restaurant,55.29
2024-03-18,Restaurant,135.01
2024-04-19,Amazon order,97.58
2024-05-20,Restaurant,141.22
2024-06-21,Grocery run,23.73
2024-07-22,Pharmacy,45.42
2024-08-23,Pharmacy,100.42
2024-09-24,Gas station,142.44
2024-10-25,Grocery run,49.7
2024-11-26,Restaurant,42.94
2024-12-27,Restaurant,110.18
2024-01-01,Amazon order,50.0
2024-02-02,Grocery run,109.04
2024-03-03,Coffee shop,104.78
2024-04-04,Grocery run,61.21
2024-05-05,Restaurant,7.13
2024-06-06,Pharmacy,145.89
2024-07-07,Restaurant,81.73
2024-08-08,Gas station,154.77
2024-09-09,Coffee shop,16.77
2024-10-10,Amazon order,163.69
2024-11-11,Restaurant,116.62
2024-12-12,Restaurant,143.32
2024-01-13,Grocery run,113.69
2024-02-14,Coffee shop,58.74
2024-03-15,Coffee shop,126.43
2024-04-16,Restaurant,133.97
2024-05-17,Gas station,138.69
2024-06-18,Pharmacy,19.57
2024-07-19,Amazon order,148.42
2024-08-20,Grocery run,70.68
2024-09-21,Grocery run,32.13
2024-10-22,Restaurant,142.46
2024-11-23,Coffee shop,59.58
2024-12-24,Pharmacy,68.14
2024-01-25,Grocery run,127.86
2024-02-26,Coffee shop,26.6
2024-03-27,Restaurant,177.57
2024-04-01,Amazon order,29.45
2024-05-02,Pharmacy,95.82
2024-06-03,Coffee shop,4.59
2024-07-04,Pharmacy,160.66
2024-08-05,Grocery run,20.09
2024-09-06,Restaurant,56.46
2024-10-07,Pharmacy,168.66
2024-11-08,Coffee shop,123.65
2024-12-09,Restaurant,44.46
2024-01-10,Amazon order,48.56
2024-02-11,Restaurant,154.54
2024-03-12,Pharmacy,85.23
2024-04-13,Grocery run,68.06
2024-05-14,Gas station,170.57
2024-06-15,Restaurant,42.43
2024-07-16,Grocery run,74.94
2024-08-17,Coffee shop,133.79
2024-09-18,Restaurant,126.26
2024-10-19,Amazon order,156.14
2024-11-20,Restaurant,166.61
2024-12-21,Grocery run,85.42
2024-01-22,Pharmacy,168.64
2024-02-23,Grocery run,71.08
2024-03-24,Coffee shop,41.91
2024-04-25,Gas station,47.38
2024-05-26,Restaurant,145.53
2024-06-27,Pharmacy,39.84
2024-07-01,Amazon order,41.74
2024-08-02,Pharmacy,137.69
2024-09-03,Pharmacy,82.69
2024-10-04,Grocery run,155.84
2024-11-05,Grocery run,99.1
2024-12-06,Pharmacy,16.81
2024-01-07,Gas station,67.86
2024-02-08,Gas station,113.29
2024-03-09,Restaurant,36.04
2024-04-10,Amazon order,50.17
2024-05-11,Pharmacy,103.86
2024-06-12,Grocery run,51.28
2024-07-13,Gas station,14.08
2024-08-14,Gas station,28.13
2024-09-15,Grocery run,131.33
2024-10-16,Coffee shop,7.59
2024-11-17,Gas station,151.63
2024-12-18,Pharmacy,18.64
2024-01-19,Amazon order,159.3
2024-02-20,Gas station,49.1
2024-03-21,Restaurant,121.78
2024-04-22,Gas station,73.34
2024-05-23,Grocery run,89.96
2024-06-24,Grocery run,30.55
2024-07-25,Restaurant,26.46
2024-08-26,Grocery run,58.96
2024-09-27,Pharmacy,88.24
2024-10-01,Amazon order,126.15
2024-11-02,Restaurant,128.36
2024-12-03,Gas station,59.24
2024-01-04,Pharmacy,121.25
2024-02-05,Grocery run,158.9
2024-03-06,Gas station,98.16
2024-04-07,Pharmacy,75.33
2024-05-08,Pharmacy,94.96
2024-06-09,Gas station,43.78
2024-07-10,Amazon order,55.41
2024-08-11,Gas station,111.59
2024-09-12,Grocery run,11.16
2024-10-13,Coffee shop,135.49
2024-11-14,Pharmacy,103.61
2024-12-15,Gas station,120.23
2024-01-16,Coffee shop,165.76
2024-02-17,Grocery run,102.23
2024-03-18,Gas station,121.32
2024-04-19,Amazon order,172.11
2024-05-20,Gas station,45.29
2024-06-21,Gas station,19.82
2024-07-22,Pharmacy,25.09
2024-08-23,Pharmacy,14.58
2024-09-24,Pharmacy,167.8
2024-10-25,Gas station,91.49
2024-11-26,Gas station,43.01
2024-12-27,Pharmacy,39.54
2024-01-01,Amazon order,139.22
2024-02-02,Gas station,121.08
2024-03-03,Grocery run,95.6
2024-04-04,Gas station,163.72
2024-05-05,Grocery run,88.18
2024-06-06,Gas station,127.44
2024-07-07,Restaurant,58.3
2024-08-08,Coffee shop,162.85
2024-09-09,Coffee shop,68.12
2024-10-10,Amazon order,15.08
2024-11-11,Pharmacy,51.87
2024-12-12,Pharmacy,91.22
2024-01-13,Restaurant,56.8
2024-02-14,Gas station,159.95
2024-03-15,Coffee shop,8.14
2024-04-16,Gas station,60.94
2024-05-17,Gas station,103.57
2024-06-18,Gas station,147.47
2024-07-19,Amazon order,160.12
2024-08-20,Pharmacy,71.66
2024-09-21,Gas station,172.02
2024-10-22,Gas station,9.46
2024-11-23,Grocery run,139.78
2024-12-24,Coffee shop,113.26
2024-01-25,Pharmacy,111.86
2024-02-26,Coffee shop,52.61
2024-03-27,Pharmacy,158.83
2024-04-01,Amazon order,71.21
2024-05-02,Pharmacy,10.71
2024-06-03,Grocery run,124.28
2024-07-04,Gas station,58.31
2024-08-05,Gas station,87.26
2024-09-06,Coffee shop,30.37
2024-10-07,Grocery run,51.48
2024-11-08,Gas station,123.71
2024-12-09,Grocery run,95.62
2024-01-10,Amazon order,167.06
2024-02-11,Pharmacy,4.62
2024-03-12,Restaurant,90.88
2024-04-13,Restaurant,17.91
2024-05-14,Restaurant,159.61
2024-06-15,Gas station,50.48
2024-07-16,Coffee shop,159.99
2024-08-17,Gas station,145.79
2024-09-18,Grocery run,126.39
2024-10-19,Amazon order,124.83
2024-11-20,Grocery run,149.09
2024-12-21,Grocery run,62.62
2024-01-22,Pharmacy,145.68
2024-02-23,Gas station,69.04
2024-03-24,Gas station,68.57
2024-04-25,Restaurant,91.71
2024-05-26,Grocery run,67.75
2024-06-27,Grocery run,165.47
2024-07-01,Amazon order,133.8
2024-08-02,Coffee shop,178.09
2024-09-03,Coffee shop,159.87
2024-10-04,Gas station,23.85
2024-11-05,Pharmacy,94.17
2024-12-06,Pharmacy,11.11
2024-01-07,Restaurant,156.47
2024-02-08,Pharmacy,13.41
2024-03-09,Gas station,73.94
2024-04-10,Amazon order,134.15
2024-05-11,Pharmacy,48.52
2024-06-12,Gas station,68.72
2024-07-13,Gas station,36.31
2024-08-14,Grocery run,152.32
2024-09-15,Grocery run,103.87
2024-10-16,Pharmacy,116.86
2024-11-17,Grocery run,113.65
2024-12-18,Gas station,145.02
2024-01-19,Amazon order,26.04
2024-02-20,Pharmacy,113.33
2024-03-21,Gas station,44.66
2024-04-22,Grocery run,175.39
2024-05-23,Pharmacy,107.05
2024-06-24,Grocery run,51.17
2024-07-25,Gas station,77.8
2024-08-26,Pharmacy,72.05
2024-09-27,Grocery run,12.57
2024-10-01,Amazon order,129.53
2024-11-02,Coffee shop,157.26
2024-12-03,Grocery run,54.34
2024-01-04,Restaurant,178.88
2024-02-05,Coffee shop,75.21
2024-03-06,Coffee shop,150.57
2024-04-07,Pharmacy,34.14
2024-05-08,Coffee shop,58.42
2024-06-09,Gas station,43.37
2024-07-10,Amazon order,131.05
2024-08-11,Pharmacy,138.71
2024-09-12,Restaurant,72.53
2024-10-13,Grocery run,100.09
2024-11-14,Grocery run,81.84
2024-12-15,Coffee shop,101.89
2024-01-16,Gas station,158.97
2024-02-17,Pharmacy,25.19
2024-03-18,Gas station,159.66
2024-04-19,Amazon order,51.55
2024-05-20,Restaurant,29.28
2024-06-21,Pharmacy,52.23
2024-07-22,Grocery run,18.26
2024-08-23,Grocery run,68.39
2024-09-24,Gas station,102.37
2024-10-25,Grocery run,15.33
2024-11-26,Gas station,121.96
2024-12-27,Coffee shop,36.12
2024-01-01,Amazon order,89.08
2024-02-02,Grocery run,178.53
2024-03-03,Pharmacy,89.23
2024-04-04,Pharmacy,65.85
2024-05-05,Restaurant,73.69
2024-06-06,Coffee shop,41.83
2024-07-07,Restaurant,119.61
2024-08-08,Restaurant,48.43
2024-09-09,Grocery run,169.24
2024-10-10,Amazon order,156.17
2024-11-11,Pharmacy,104.54
2024-12-12,Coffee shop,34.95
2024-01-13,Coffee shop,170.27
2024-02-14,Restaurant,24.9
2024-03-15,Coffee shop,51.7
2024-04-16,Coffee shop,136.63
2024-05-17,Gas station,15.08
2024-06-18,Pharmacy,5.84
2024-07-19,Amazon order,40.98
2024-08-20,Gas station,5.94
2024-09-21,Restaurant,50.63
2024-10-22,Grocery run,143.44
2024-11-23,Pharmacy,74.27
2024-12-24,Restaurant,149.67
2024-01-25,Coffee shop,168.76
2024-02-26,Pharmacy,74.8
2024-03-27,Pharmacy,48.09
2024-04-01,Amazon order,164.1
2024-05-02,Coffee shop,5.67
2024-06-03,Grocery run,43.99
2024-07-04,Pharmacy,131.48
2024-08-05,Restaurant,119.63
2024-09-06,Gas station,114.34
2024-10-07,Pharmacy,66.31
2024-11-08,Gas station,15.73
2024-12-09,Gas station,108.58
2024-01-10,Amazon order,50.57
2024-02-11,Grocery run,134.53
2024-03-12,Grocery run,12.26
2024-04-13,Grocery run,100.14
2024-05-14,Grocery run,35.2
2024-06-15,Coffee shop,31.39
2024-07-16,Gas station,65.66
2024-08-17,Pharmacy,7.87
2024-09-18,Pharmacy,92.45
2024-10-19,Amazon order,74.99
2024-11-20,Gas station,171.31
2024-12-21,Grocery run,7.66
2024-01-22,Grocery run,60.48
2024-02-23,Restaurant,23.07
2024-03-24,Gas station,79.7
2024-04-25,Grocery run,91.88
2024-05-26,Grocery run,147.01
2024-06-27,Coffee shop,123.19
2024-07-01,Amazon order,170.79
2024-08-02,Gas station,159.14
2024-09-03,Gas station,96.42
2024-10-04,Coffee shop,30.07
2024-11-05,Pharmacy,164.35
