rung,model,harness,case,tier,correct,correct_rate,closeness_det,waste,prompt_tok,completion_tok,steps,hard_fail,total_s,err
1,deepseek-v4-flash-0731,bare,fqa-fit-run-km,num-filter,1,0.6667,0.4733,0,1560,415,0,0,17.503,
1,deepseek-v4-flash-0731,bare,fqa-fit-top-activity,cat-groupby,0,0.0,0.8,0,1561,1024,0,0,41.104,
1,deepseek-v4-flash-0731,bare,fqa-fit-total-distance,num-aggregate,0,0.0,0.3,0,2397,1024,0,0,43.494,
1,deepseek-v4-flash-0731,bare,fqa-fit-total-min,num-aggregate,0,0.3333,0.4367,0,1534,964,0,0,20.016,
1,deepseek-v4-flash-0731,bare,fqa-goals-most-behind,text-lookup,1,1.0,0.8,0,235,41,0,0,1.871,
1,deepseek-v4-flash-0731,bare,fqa-jrnl-apr19,text-lookup,1,1.0,0.8,0,325,112,0,0,4.434,
1,deepseek-v4-flash-0731,bare,fqa-jrnl-entries,text-count,1,1.0,0.71,0,1147,93,0,0,1.827,
1,deepseek-v4-flash-0731,bare,fqa-jrnl-kyoto,text-search,1,1.0,0.8,0,320,66,0,0,1.43,
1,deepseek-v4-flash-0731,bare,fqa-jrnl-stressed,text-count,1,1.0,0.71,0,322,31,0,0,1.231,
1,deepseek-v4-flash-0731,bare,fqa-mf-most-over-budget,mf-join-compare,0,0.0,0.8,0,2013,1024,0,0,43.467,
1,deepseek-v4-flash-0731,bare,fqa-mf-pages-british,mf-join-aggregate,1,1.0,0.71,0,449,66,0,0,1.446,
1,deepseek-v4-flash-0731,bare,fqa-mf-rent-vs-budget,mf-join-compare,1,1.0,0.71,0,2001,325,0,0,14.213,
1,deepseek-v4-flash-0731,bare,fqa-mf-run-days-minutes,mf-doc-join,1,1.0,0.71,0,1743,505,0,0,17.162,
1,deepseek-v4-flash-0731,bare,fqa-notool,no-tool,1,1.0,0.8,0,150,84,0,0,3.411,
1,deepseek-v4-flash-0731,bare,fqa-pdf-deposit,text-lookup,1,1.0,0.71,0,583,23,0,0,1.885,
1,deepseek-v4-flash-0731,bare,fqa-pdf-parking,text-lookup,1,1.0,0.71,0,1415,28,0,0,2.813,
1,deepseek-v4-flash-0731,bare,fqa-pdf-rent,text-lookup,1,1.0,0.71,0,563,36,0,0,1.869,
1,deepseek-v4-flash-0731,bare,fqa-read-avg-rating,num-avg,1,1.0,0.71,0,356,44,0,0,3.097,
1,deepseek-v4-flash-0731,bare,fqa-read-finished-count,bool-filter,1,1.0,0.71,0,325,34,0,0,1.088,
1,deepseek-v4-flash-0731,bare,fqa-read-finished-pages,num-aggregate,1,1.0,0.71,0,366,64,0,0,2.47,
1,deepseek-v4-flash-0731,bare,fqa-read-genres,distinct-count,1,1.0,0.71,0,1284,66,0,0,2.588,
1,deepseek-v4-flash-0731,bare,fqa-read-longest,text-max,1,1.0,0.8,0,384,87,0,0,3.5,
1,deepseek-v4-flash-0731,bare,fqa-read-rated5,num-filter,1,1.0,0.71,0,380,73,0,0,3.906,
1,deepseek-v4-flash-0731,bare,fqa-read-top-genre-pages,cat-groupby,1,1.0,0.8,0,387,93,0,0,4.071,
1,deepseek-v4-flash-0731,bare,fqa-read-unfinished,text-list,1,1.0,0.8,0,382,52,0,0,1.065,
1,deepseek-v4-flash-0731,bare,fqa-refusal,refusal,1,1.0,0.8,0,386,67,0,0,8.101,
1,deepseek-v4-flash-0731,bare,fqa-screen-days-over-150,num-filter,0,0.0,0.3,0,4477,1024,0,0,5.614,
1,deepseek-v4-flash-0731,bare,fqa-screen-second-app,cat-rank,0,0.3333,0.8,0,5301,358,0,0,1.805,
1,deepseek-v4-flash-0731,bare,fqa-screen-top-app,cat-groupby,0,0.0,0.8,0,4469,1024,0,0,3.566,
1,deepseek-v4-flash-0731,bare,fqa-screen-total,num-aggregate,0,0.0,0.3,0,4523,1024,0,0,6.036,
1,deepseek-v4-flash-0731,bare,fqa-sleep-at-least-8,num-filter,1,1.0,0.71,0,1661,185,0,0,0.867,
1,deepseek-v4-flash-0731,bare,fqa-sleep-avg-hours,num-avg,0,0.3333,0.4367,0,1659,1022,0,0,7.115,
1,deepseek-v4-flash-0731,bare,fqa-subs-active-cost,num-filter,0,0.0,0.3,0,173,71,0,0,3.591,
1,deepseek-v4-flash-0731,bare,fqa-subs-cheapest,text-min,0,0.0,0.8,0,979,103,0,0,2.5,
1,deepseek-v4-flash-0731,bare,fqa-subs-inactive-count,num-filter,0,0.0,0.3,0,169,98,0,0,3.597,
1,deepseek-v4-flash-0731,bare,fqa-subs-top-category,cat-groupby,0,0.0,0.8,0,177,89,0,0,3.042,
1,deepseek-v4-flash-0731,bare,fqa-trip-avg-nights,num-avg,1,1.0,0.71,0,246,71,0,0,2.333,
1,deepseek-v4-flash-0731,bare,fqa-trip-countries,distinct-count,1,1.0,0.71,0,189,37,0,0,2.833,
1,deepseek-v4-flash-0731,bare,fqa-trip-leisure-nights,cat-filter,1,1.0,0.71,0,247,122,0,0,1.982,
1,deepseek-v4-flash-0731,bare,fqa-trip-longest,text-max,1,1.0,0.8,0,1070,40,0,0,1.217,
1,deepseek-v4-flash-0731,bare,fqa-trip-total-nights,num-aggregate,1,1.0,0.71,0,225,39,0,0,1.892,
1,deepseek-v4-flash-0731,bare,fqa-xf-contacts-nights,mf-join-aggregate,1,1.0,0.71,0,1371,115,0,0,2.2,
1,deepseek-v4-flash-0731,bare,fqa-xf-contacts-visited,mf-join-filter,1,1.0,0.8,0,528,178,0,0,6.524,
1,deepseek-v4-flash-0731,bare,fqa-xf-dining-cap-months,mf-doc-join,1,1.0,0.71,0,2050,202,0,0,6.644,
1,deepseek-v4-flash-0731,bare,fqa-xf-lease-vs-spend,mf-doc-join,1,0.6667,0.5733,0,2389,747,0,0,15.334,
1,deepseek-v4-flash-0731,bare,fqa-xf-nationality-pages,mf-join-groupby,1,1.0,0.8,0,464,189,0,0,8.961,
1,deepseek-v4-flash-0731,bare,fqa-xf-run-goal,mf-doc-join,1,1.0,0.71,0,1663,940,0,0,10.802,
1,deepseek-v4-flash-0731,bare,fqa-xf-sleep-screen,mf-join-aggregate,0,0.0,0.3,0,6047,1024,0,0,33.253,
1,deepseek-v4-flash-0731,fella,fqa-contacts-close-count,cat-filter,1,1.0,0.8,0,3971,111,1,0,2.741,
1,deepseek-v4-flash-0731,fella,fqa-contacts-countries,distinct-count,1,1.0,0.8,0,4473,134,1,0,1.09,
1,deepseek-v4-flash-0731,fella,fqa-contacts-out-of-touch,text-max,1,1.0,0.8,0,4037,142,1,0,4.86,
1,deepseek-v4-flash-0731,fella,fqa-fin-avg-month-2024,num-avg,1,1.0,0.8,0,5996,334,1,0,11.422,
1,deepseek-v4-flash-0731,fella,fqa-fin-groceries-delta,num-multistep,1,1.0,0.74,0,3865,174,1,1,8.769,
1,deepseek-v4-flash-0731,fella,fqa-fin-peak-month-2024,temporal-max,1,1.0,0.8,0,4573,140,1,0,3.731,
1,deepseek-v4-flash-0731,fella,fqa-fin-q1-2024,num-filter,1,1.0,0.8,0,4029,148,1,0,11.397,
1,deepseek-v4-flash-0731,fella,fqa-fin-rent-2024,num-filter,1,1.0,0.8,0,4081,141,1,0,3.846,
1,deepseek-v4-flash-0731,fella,fqa-fin-second-cat,cat-rank,1,1.0,0.8,0,4019,142,1,0,3.294,
1,deepseek-v4-flash-0731,fella,fqa-fin-top-cat,cat-groupby,1,1.0,0.8,0,4075,123,1,0,4.409,
1,deepseek-v4-flash-0731,fella,fqa-fin-total-2024,num-aggregate,1,1.0,0.8,0,4042,125,1,0,4.035,
1,deepseek-v4-flash-0731,fella,fqa-fin-yoy,num-multistep,1,1.0,0.7407,0,3950,171,1,1,4.829,
1,deepseek-v4-flash-0731,fella,fqa-fit-avg-session,num-avg,1,1.0,0.8,0,3979,106,1,0,2.636,
1,deepseek-v4-flash-0731,fella,fqa-fit-distinct-activities,distinct-count,1,1.0,0.8,0,3995,111,1,0,7.857,
1,deepseek-v4-flash-0731,fella,fqa-fit-longest,num-max,1,1.0,0.8,0,3912,104,1,0,2.795,
1,deepseek-v4-flash-0731,fella,fqa-fit-run-count,num-filter,1,1.0,0.8,0,3976,106,1,0,2.251,
1,deepseek-v4-flash-0731,fella,fqa-fit-run-km,num-filter,1,1.0,0.8,0,4080,116,1,0,3.331,
1,deepseek-v4-flash-0731,fella,fqa-fit-top-activity,cat-groupby,1,1.0,0.8,0,4128,141,1,0,4.61,
1,deepseek-v4-flash-0731,fella,fqa-fit-total-distance,num-aggregate,1,1.0,0.8,0,4453,127,1,0,3.841,
1,deepseek-v4-flash-0731,fella,fqa-fit-total-min,num-aggregate,1,1.0,0.8,0,4061,111,1,0,4.128,
1,deepseek-v4-flash-0731,fella,fqa-goals-most-behind,text-lookup,1,1.0,0.8,0,3788,162,1,0,2.874,
1,deepseek-v4-flash-0731,fella,fqa-jrnl-apr19,text-lookup,1,1.0,0.8,0,3868,150,1,0,1.726,
1,deepseek-v4-flash-0731,fella,fqa-jrnl-entries,text-count,1,1.0,0.8,0,4227,158,1,0,1.577,
1,deepseek-v4-flash-0731,fella,fqa-jrnl-kyoto,text-search,1,1.0,0.8,0,3869,151,1,0,2.376,
1,deepseek-v4-flash-0731,fella,fqa-jrnl-stressed,text-count,1,0.6667,0.5833,0,6436,210,2,0,10.476,
1,deepseek-v4-flash-0731,fella,fqa-mf-most-over-budget,mf-join-compare,1,1.0,0.7667,0,4385,213,1,1,3.311,
1,deepseek-v4-flash-0731,fella,fqa-mf-pages-british,mf-join-aggregate,1,1.0,0.8,0,4360,170,1,0,4.235,
1,deepseek-v4-flash-0731,fella,fqa-mf-rent-vs-budget,mf-join-compare,1,1.0,0.7,0,4344,221,1,1,10.955,
1,deepseek-v4-flash-0731,fella,fqa-mf-run-days-minutes,mf-doc-join,1,1.0,0.7143,0,7293,343,2,0,8.139,
1,deepseek-v4-flash-0731,fella,fqa-notool,no-tool,1,1.0,0.8,0,1792,77,0,0,3.853,
1,deepseek-v4-flash-0731,fella,fqa-pdf-deposit,text-lookup,1,1.0,0.8,0,3874,115,1,0,0.664,
1,deepseek-v4-flash-0731,fella,fqa-pdf-parking,text-lookup,1,1.0,0.8,0,4163,111,1,0,2.627,
1,deepseek-v4-flash-0731,fella,fqa-pdf-rent,text-lookup,1,1.0,0.8,0,3641,83,1,0,3.951,
1,deepseek-v4-flash-0731,fella,fqa-read-avg-rating,num-avg,1,1.0,0.8,0,4248,125,1,0,3.362,
1,deepseek-v4-flash-0731,fella,fqa-read-finished-count,bool-filter,1,1.0,0.8,0,4204,96,1,0,4.406,
1,deepseek-v4-flash-0731,fella,fqa-read-finished-pages,num-aggregate,1,1.0,0.8,0,4169,116,1,0,3.075,
1,deepseek-v4-flash-0731,fella,fqa-read-genres,distinct-count,1,1.0,0.8,0,4624,106,1,0,2.676,
1,deepseek-v4-flash-0731,fella,fqa-read-longest,text-max,1,1.0,0.7,0,4110,117,1,1,3.521,
1,deepseek-v4-flash-0731,fella,fqa-read-rated5,num-filter,1,1.0,0.65,0,3937,91,1,1,3.329,
1,deepseek-v4-flash-0731,fella,fqa-read-top-genre-pages,cat-groupby,1,1.0,0.8,0,4243,141,1,0,6.124,
1,deepseek-v4-flash-0731,fella,fqa-read-unfinished,text-list,1,1.0,0.8,0,4086,102,1,0,4.016,
1,deepseek-v4-flash-0731,fella,fqa-refusal,refusal,1,1.0,0.8,0,1994,208,0,0,11.626,
1,deepseek-v4-flash-0731,fella,fqa-screen-days-over-150,num-filter,1,1.0,0.65,0,3883,163,1,1,1.664,
1,deepseek-v4-flash-0731,fella,fqa-screen-second-app,cat-rank,1,1.0,0.8,0,4498,163,1,0,1.846,
1,deepseek-v4-flash-0731,fella,fqa-screen-top-app,cat-groupby,1,1.0,0.8,0,3903,123,1,0,3.415,
1,deepseek-v4-flash-0731,fella,fqa-screen-total,num-aggregate,1,1.0,0.8,0,3872,83,1,0,2.056,
1,deepseek-v4-flash-0731,fella,fqa-sleep-at-least-8,num-filter,1,1.0,0.8,0,4053,134,1,0,1.261,
1,deepseek-v4-flash-0731,fella,fqa-sleep-avg-hours,num-avg,1,1.0,0.8,0,3938,110,1,0,1.764,
1,deepseek-v4-flash-0731,fella,fqa-subs-active-cost,num-filter,1,1.0,0.8,0,3960,111,1,0,2.577,
1,deepseek-v4-flash-0731,fella,fqa-subs-cheapest,text-min,1,1.0,0.8,0,4451,130,1,0,1.142,
1,deepseek-v4-flash-0731,fella,fqa-subs-inactive-count,num-filter,1,1.0,0.8,0,3916,113,1,0,4.515,
1,deepseek-v4-flash-0731,fella,fqa-subs-top-category,cat-groupby,1,1.0,0.8,0,3993,149,1,0,13.199,
1,deepseek-v4-flash-0731,fella,fqa-trip-avg-nights,num-avg,1,1.0,0.8,0,4008,119,1,0,1.953,
1,deepseek-v4-flash-0731,fella,fqa-trip-countries,distinct-count,1,1.0,0.8,0,3851,104,1,0,2.895,
1,deepseek-v4-flash-0731,fella,fqa-trip-leisure-nights,cat-filter,1,1.0,0.8,0,3889,112,1,0,3.52,
1,deepseek-v4-flash-0731,fella,fqa-trip-longest,text-max,1,1.0,0.5,0,4439,134,1,1,8.053,
1,deepseek-v4-flash-0731,fella,fqa-trip-total-nights,num-aggregate,1,1.0,0.8,0,3895,90,1,0,3.177,
1,deepseek-v4-flash-0731,fella,fqa-xf-contacts-nights,mf-join-aggregate,1,1.0,0.8,0,5695,265,1,0,6.891,
1,deepseek-v4-flash-0731,fella,fqa-xf-contacts-visited,mf-join-filter,1,1.0,0.8,0,4283,174,1,0,2.566,
1,deepseek-v4-flash-0731,fella,fqa-xf-dining-cap-months,mf-doc-join,1,1.0,0.8,0,4438,238,1,0,3.164,
1,deepseek-v4-flash-0731,fella,fqa-xf-lease-vs-spend,mf-doc-join,1,1.0,0.725,0,6649,372,2,0,22.572,
1,deepseek-v4-flash-0731,fella,fqa-xf-nationality-pages,mf-join-groupby,1,1.0,0.8,0,4606,186,1,0,2.751,
1,deepseek-v4-flash-0731,fella,fqa-xf-run-goal,mf-doc-join,1,1.0,0.7,0,4105,230,1,1,3.756,
1,deepseek-v4-flash-0731,fella,fqa-xf-sleep-screen,mf-join-aggregate,1,1.0,0.75,0,4058,200,1,1,7.494,
2,glm-5.3-flash,bare,fqa-contacts-close-count,cat-filter,1,1.0,0.71,0,341,19,0,0,0.942,
2,glm-5.3-flash,bare,fqa-contacts-countries,distinct-count,1,1.0,0.71,0,1135,25,0,0,1.238,
2,glm-5.3-flash,bare,fqa-contacts-out-of-touch,text-max,1,1.0,0.8,0,338,9,0,0,0.922,
2,glm-5.3-flash,bare,fqa-fin-avg-month-2024,num-avg,0,0.0,0.3,0,2530,1024,0,0,17.882,
2,glm-5.3-flash,bare,fqa-fin-groceries-delta,num-multistep,1,1.0,0.71,0,1736,661,0,0,6.286,
2,glm-5.3-flash,bare,fqa-fin-peak-month-2024,temporal-max,1,0.6667,0.74,0,2564,845,0,0,7.053,
2,glm-5.3-flash,bare,fqa-fin-q1-2024,num-filter,1,1.0,0.71,0,1736,393,0,0,3.116,
2,glm-5.3-flash,bare,fqa-fin-rent-2024,num-filter,1,1.0,0.71,0,1728,384,0,0,3.325,
2,glm-5.3-flash,bare,fqa-fin-second-cat,cat-rank,0,0.0,0.8,0,1730,1024,0,0,13.282,
2,glm-5.3-flash,bare,fqa-fin-top-cat,cat-groupby,1,1.0,0.8,0,1728,682,0,0,9.719,
2,glm-5.3-flash,bare,fqa-fin-total-2024,num-aggregate,0,0.0,0.3,0,1728,1024,0,0,7.814,
2,glm-5.3-flash,bare,fqa-fin-yoy,num-multistep,0,0.0,0.3,0,1739,1024,0,0,6.327,
2,glm-5.3-flash,bare,fqa-fit-avg-session,num-avg,0,0.0,0.3,0,1403,1024,0,0,8.607,
2,glm-5.3-flash,bare,fqa-fit-distinct-activities,distinct-count,1,1.0,0.71,0,1403,21,0,0,1.533,
2,glm-5.3-flash,bare,fqa-fit-longest,num-max,1,1.0,0.71,0,1401,960,0,0,6.709,
2,glm-5.3-flash,bare,fqa-fit-run-count,num-filter,1,1.0,0.71,0,1400,352,0,0,3.701,
2,glm-5.3-flash,bare,fqa-fit-run-km,num-filter,1,0.6667,0.5733,0,1400,880,0,0,5.753,
2,glm-5.3-flash,bare,fqa-fit-top-activity,cat-groupby,0,0.0,0.8,0,1401,1024,0,0,7.673,
2,glm-5.3-flash,bare,fqa-fit-total-distance,num-aggregate,0,0.0,0.3,0,2204,1024,0,0,6.774,
2,glm-5.3-flash,bare,fqa-fit-total-min,num-aggregate,0,0.0,0.3,0,1401,1024,0,0,6.436,
2,glm-5.3-flash,bare,fqa-goals-most-behind,text-lookup,1,1.0,0.8,0,196,11,0,0,0.795,
2,glm-5.3-flash,bare,fqa-jrnl-apr19,text-lookup,1,1.0,0.8,0,255,72,0,0,1.135,
2,glm-5.3-flash,bare,fqa-jrnl-entries,text-count,1,1.0,0.71,0,1044,62,0,0,3.994,
2,glm-5.3-flash,bare,fqa-jrnl-kyoto,text-search,1,1.0,0.71,0,250,66,0,0,1.358,
2,glm-5.3-flash,bare,fqa-jrnl-stressed,text-count,1,1.0,0.71,0,252,17,0,0,1.358,
2,glm-5.3-flash,bare,fqa-mf-most-over-budget,mf-join-compare,0,0.0,0.8,0,1792,1024,0,0,6.437,
2,glm-5.3-flash,bare,fqa-mf-pages-british,mf-join-aggregate,1,1.0,0.71,0,389,37,0,0,0.603,
2,glm-5.3-flash,bare,fqa-mf-rent-vs-budget,mf-join-compare,1,1.0,0.71,0,1780,273,0,0,5.379,
2,glm-5.3-flash,bare,fqa-mf-run-days-minutes,mf-doc-join,1,1.0,0.71,0,1583,245,0,0,4.479,
2,glm-5.3-flash,bare,fqa-notool,no-tool,1,1.0,0.8,0,80,200,0,0,1.864,
2,glm-5.3-flash,bare,fqa-pdf-deposit,text-lookup,1,1.0,0.71,0,523,11,0,0,0.643,
2,glm-5.3-flash,bare,fqa-pdf-parking,text-lookup,1,1.0,0.71,0,1322,19,0,0,0.836,
2,glm-5.3-flash,bare,fqa-pdf-rent,text-lookup,1,1.0,0.71,0,522,12,0,0,0.827,
2,glm-5.3-flash,bare,fqa-read-avg-rating,num-avg,1,1.0,0.71,0,306,60,0,0,1.114,
2,glm-5.3-flash,bare,fqa-read-finished-count,bool-filter,1,1.0,0.71,0,301,36,0,0,0.765,
2,glm-5.3-flash,bare,fqa-read-finished-pages,num-aggregate,1,1.0,0.71,0,308,92,0,0,2.11,
2,glm-5.3-flash,bare,fqa-read-genres,distinct-count,1,1.0,0.71,0,1172,26,0,0,0.403,
2,glm-5.3-flash,bare,fqa-read-longest,text-max,1,1.0,0.71,0,307,96,0,0,0.842,
2,glm-5.3-flash,bare,fqa-read-rated5,num-filter,1,1.0,0.71,0,303,71,0,0,0.607,
2,glm-5.3-flash,bare,fqa-read-top-genre-pages,cat-groupby,1,1.0,0.8,0,310,123,0,0,1.98,
2,glm-5.3-flash,bare,fqa-read-unfinished,text-list,1,1.0,0.8,0,305,37,0,0,2.393,
2,glm-5.3-flash,bare,fqa-refusal,refusal,0,0.0,0.71,0,309,312,0,0,6.338,
2,glm-5.3-flash,bare,fqa-screen-days-over-150,num-filter,0,0.0,0.3,0,4125,1024,0,0,8.355,
2,glm-5.3-flash,bare,fqa-screen-second-app,cat-rank,0,0.0,0.8,0,4915,1024,0,0,6.24,
2,glm-5.3-flash,bare,fqa-screen-top-app,cat-groupby,0,0.3333,0.8,0,4117,690,0,0,12.792,
2,glm-5.3-flash,bare,fqa-screen-total,num-aggregate,0,0.0,0.3,0,4119,1024,0,0,37.562,
2,glm-5.3-flash,bare,fqa-sleep-at-least-8,num-filter,1,0.6667,0.4733,0,1593,128,0,0,2.055,
2,glm-5.3-flash,bare,fqa-sleep-avg-hours,num-avg,0,0.0,0.3,0,1591,1024,0,0,8.769,
2,glm-5.3-flash,bare,fqa-subs-active-cost,num-filter,0,0.0,0.3,0,101,64,0,0,2.731,
2,glm-5.3-flash,bare,fqa-subs-cheapest,text-min,0,0.0,0.8,0,893,90,0,0,3.565,
2,glm-5.3-flash,bare,fqa-subs-inactive-count,num-filter,0,0.0,0.3,0,97,63,0,0,2.443,
2,glm-5.3-flash,bare,fqa-subs-top-category,cat-groupby,0,0.0,0.8,0,105,116,0,0,3.17,
2,glm-5.3-flash,bare,fqa-trip-avg-nights,num-avg,1,1.0,0.71,0,170,58,0,0,1.083,
2,glm-5.3-flash,bare,fqa-trip-countries,distinct-count,1,1.0,0.71,0,166,26,0,0,1.165,
2,glm-5.3-flash,bare,fqa-trip-leisure-nights,cat-filter,1,1.0,0.71,0,171,31,0,0,0.543,
2,glm-5.3-flash,bare,fqa-trip-longest,text-max,1,1.0,0.8,0,961,52,0,0,0.564,
2,glm-5.3-flash,bare,fqa-trip-total-nights,num-aggregate,1,1.0,0.71,0,168,24,0,0,0.638,
2,glm-5.3-flash,bare,fqa-xf-contacts-nights,mf-join-aggregate,1,1.0,0.71,0,1244,80,0,0,1.722,
2,glm-5.3-flash,bare,fqa-xf-contacts-visited,mf-join-filter,1,1.0,0.8,0,434,82,0,0,2.062,
2,glm-5.3-flash,bare,fqa-xf-dining-cap-months,mf-doc-join,1,1.0,0.71,0,1859,196,0,0,2.483,
2,glm-5.3-flash,bare,fqa-xf-lease-vs-spend,mf-doc-join,1,1.0,0.71,0,2205,407,0,0,10.659,
2,glm-5.3-flash,bare,fqa-xf-nationality-pages,mf-join-groupby,1,1.0,0.77,0,385,120,0,0,3.158,
2,glm-5.3-flash,bare,fqa-xf-run-goal,mf-doc-join,1,1.0,0.71,0,1525,669,0,0,7.025,
2,glm-5.3-flash,bare,fqa-xf-sleep-screen,mf-join-aggregate,0,0.0,0.3,0,5644,1024,0,0,9.601,
2,glm-5.3-flash,fella,fqa-contacts-close-count,cat-filter,1,1.0,0.8,0,3551,95,1,0,2.216,
2,glm-5.3-flash,fella,fqa-contacts-countries,distinct-count,1,1.0,0.8,0,3912,123,1,0,3.905,
2,glm-5.3-flash,fella,fqa-contacts-out-of-touch,text-max,1,1.0,0.8,0,3592,139,1,0,2.735,
2,glm-5.3-flash,fella,fqa-fin-avg-month-2024,num-avg,1,1.0,0.8,0,4117,194,1,0,4.646,
2,glm-5.3-flash,fella,fqa-fin-groceries-delta,num-multistep,1,1.0,0.74,0,3488,223,1,1,4.387,
2,glm-5.3-flash,fella,fqa-fin-peak-month-2024,temporal-max,1,1.0,0.8,0,4149,158,1,0,2.327,
2,glm-5.3-flash,fella,fqa-fin-q1-2024,num-filter,1,1.0,0.8,0,3627,142,1,0,2.91,
2,glm-5.3-flash,fella,fqa-fin-rent-2024,num-filter,1,1.0,0.8,0,3581,118,1,0,2.251,
2,glm-5.3-flash,fella,fqa-fin-second-cat,cat-rank,1,1.0,0.8,0,3601,194,1,0,3.171,
2,glm-5.3-flash,fella,fqa-fin-top-cat,cat-groupby,1,1.0,0.8,0,3607,141,1,0,2.83,
2,glm-5.3-flash,fella,fqa-fin-total-2024,num-aggregate,1,1.0,0.8,0,3552,129,1,0,4.617,
2,glm-5.3-flash,fella,fqa-fin-yoy,num-multistep,1,1.0,0.7,0,3461,213,1,1,2.377,
2,glm-5.3-flash,fella,fqa-fit-avg-session,num-avg,1,1.0,0.8,0,3574,105,1,0,1.961,
2,glm-5.3-flash,fella,fqa-fit-distinct-activities,distinct-count,1,1.0,0.8,0,3579,105,1,0,3.543,
2,glm-5.3-flash,fella,fqa-fit-longest,num-max,1,1.0,0.74,0,3603,149,1,0,2.217,
2,glm-5.3-flash,fella,fqa-fit-run-count,num-filter,1,0.6667,0.6333,0,3561,96,1,0,7.485,
2,glm-5.3-flash,fella,fqa-fit-run-km,num-filter,1,1.0,0.8,0,3572,105,1,0,2.103,
2,glm-5.3-flash,fella,fqa-fit-top-activity,cat-groupby,1,1.0,0.8,0,3627,126,1,0,2.603,
2,glm-5.3-flash,fella,fqa-fit-total-distance,num-aggregate,1,1.0,0.8,0,4023,106,1,0,3.96,
2,glm-5.3-flash,fella,fqa-fit-total-min,num-aggregate,1,1.0,0.8,0,3552,91,1,0,1.934,
2,glm-5.3-flash,fella,fqa-goals-most-behind,text-lookup,1,1.0,0.8,0,3352,347,1,0,11.371,
2,glm-5.3-flash,fella,fqa-jrnl-apr19,text-lookup,1,1.0,0.7333,0,3383,218,1,0,3.139,
2,glm-5.3-flash,fella,fqa-jrnl-entries,text-count,1,1.0,0.8,0,3764,142,1,0,3.083,
2,glm-5.3-flash,fella,fqa-jrnl-kyoto,text-search,1,1.0,0.7714,0,3427,273,1,0,2.983,
2,glm-5.3-flash,fella,fqa-jrnl-stressed,text-count,1,1.0,0.75,0,5814,436,2,0,7.925,
2,glm-5.3-flash,fella,fqa-mf-most-over-budget,mf-join-compare,1,1.0,0.7143,0,4091,235,1,1,4.549,
2,glm-5.3-flash,fella,fqa-mf-pages-british,mf-join-aggregate,1,1.0,0.8,0,4022,183,1,0,3.667,
2,glm-5.3-flash,fella,fqa-mf-rent-vs-budget,mf-join-compare,1,1.0,0.7,0,3939,227,1,1,6.284,
2,glm-5.3-flash,fella,fqa-mf-run-days-minutes,mf-doc-join,1,1.0,0.8,0,5985,407,2,0,5.327,
2,glm-5.3-flash,fella,fqa-notool,no-tool,1,1.0,0.8,0,1578,138,0,0,3.86,
2,glm-5.3-flash,fella,fqa-pdf-deposit,text-lookup,1,1.0,0.55,0,3256,46,1,1,9.494,
2,glm-5.3-flash,fella,fqa-pdf-parking,text-lookup,1,1.0,0.7,0,3666,43,1,0,11.764,
2,glm-5.3-flash,fella,fqa-pdf-rent,text-lookup,1,1.0,0.8,0,3317,93,1,0,1.827,
